day,date,Done?
1,10/4/18,Yes
2,10/5/18,Yes
3,10/6/18,Yes
4,10/7/18,Yes
5,10/8/18,Yes
6,10/9/18,Yes
7,10/10/18,Yes
8,10/11/18,Yes
9,10/12/18,Yes
10,10/13/18,Yes
11,10/14/18,Yes
12,10/15/18,Yes
13,10/16/18,Yes
14,10/17/18,Yes
15,10/18/18,Yes
16,10/19/18,Yes
17,10/20/18,Yes
18,10/21/18,Yes
19,10/22/18,Yes
20,10/23/18,Yes
21,10/24/18,Yes
22,10/25/18,Yes
23,10/26/18,Yes
24,10/27/18,Yes
25,10/28/18,Yes
26,10/29/18,Yes
27,10/30/18,Yes
28,10/31/18,Yes
29,11/1/18,Yes
30,11/2/18,Yes
31,11/3/18,Yes
32,11/4/18,Yes
33,11/5/18,Yes
34,11/6/18,Yes
35,11/7/18,
36,11/8/18,
37,11/9/18,
38,11/10/18,
39,11/11/18,
40,11/12/18,
41,11/13/18,
42,11/14/18,
43,11/15/18,
44,11/16/18,
45,11/17/18,
46,11/18/18,
47,11/19/18,
48,11/20/18,
49,11/21/18,
50,11/22/18,
51,11/23/18,
52,11/24/18,
53,11/25/18,
54,11/26/18,
55,11/27/18,
56,11/28/18,
57,11/29/18,
58,11/30/18,
59,12/1/18,
60,12/2/18,
61,12/3/18,
62,12/4/18,
63,12/5/18,
64,12/6/18,
65,12/7/18,
66,12/8/18,
67,12/9/18,
68,12/10/18,
69,12/11/18,
70,12/12/18,
71,12/13/18,
72,12/14/18,
73,12/15/18,
74,12/16/18,
75,12/17/18,
76,12/18/18,
77,12/19/18,
78,12/20/18,
79,12/21/18,
80,12/22/18,
81,12/23/18,
82,12/24/18,
83,12/25/18,
84,12/26/18,
85,12/27/18,
86,12/28/18,
87,12/29/18,
88,12/30/18,
89,12/31/18,
90,1/1/19,
91,1/2/19,
92,1/3/19,
93,1/4/19,
94,1/5/19,
95,1/6/19,
96,1/7/19,
97,1/8/19,
98,1/9/19,
99,1/10/19,
100,1/11/19,
